Distribución,Media teórica,Media simulada,Varianza teórica,Varianza simulada,Desv. estándar teórica,Desv. estándar simulada,Tamaño de muestra
Binomial,5.0,4.939,2.5,2.4892789999999994,1.5811388300841898,1.5777449096732967,1000
Poisson,4.0,3.971,4.0,3.938159,2.0,1.9844795287429902,1000
Geometrica,3.3333333333333335,3.279,7.777777777777778,7.557159,2.788866755113585,2.7490287375725995,1000
Normal,0.0,-0.03580375682002973,1.0,1.1122242932311306,1.0,1.0546204498449339,1000
Uniforme,5.0,4.940169203974576,8.333333333333334,7.901115545203901,2.886751345948129,2.8108923040920475,1000
Exponencial,0.6666666666666666,0.6372035061122601,0.4444444444444444,0.40308110012484155,0.6666666666666666,0.6348866829008477,1000
